+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS11300000 | 2017 |  M12   |  62.7 |           |
| LNS11300000 | 2017 |  M11   |  62.7 |           |
| LNS11300000 | 2017 |  M10   |  62.7 |           |
| LNS11300000 | 2017 |  M09   |  63.1 |           |
| LNS11300000 | 2017 |  M08   |  62.9 |           |
| LNS11300000 | 2017 |  M07   |  62.9 |           |
| LNS11300000 | 2017 |  M06   |  62.8 |           |
| LNS11300000 | 2017 |  M05   |  62.8 |           |
| LNS11300000 | 2017 |  M04   |  63.0 |           |
| LNS11300000 | 2017 |  M03   |  62.9 |           |
| LNS11300000 | 2017 |  M02   |  62.9 |           |
| LNS11300000 | 2017 |  M01   |  62.8 |           |
| LNS11300000 | 2016 |  M12   |  62.7 |           |
| LNS11300000 | 2016 |  M11   |  62.7 |           |
| LNS11300000 | 2016 |  M10   |  62.8 |           |
| LNS11300000 | 2016 |  M09   |  62.9 |           |
| LNS11300000 | 2016 |  M08   |  62.9 |           |
| LNS11300000 | 2016 |  M07   |  62.8 |           |
| LNS11300000 | 2016 |  M06   |  62.7 |           |
| LNS11300000 | 2016 |  M05   |  62.7 |           |
| LNS11300000 | 2016 |  M04   |  62.9 |           |
| LNS11300000 | 2016 |  M03   |  63.0 |           |
| LNS11300000 | 2016 |  M02   |  62.8 |           |
| LNS11300000 | 2016 |  M01   |  62.7 |           |
| LNS11300000 | 2015 |  M12   |  62.7 |           |
| LNS11300000 | 2015 |  M11   |  62.5 |           |
| LNS11300000 | 2015 |  M10   |  62.5 |           |
| LNS11300000 | 2015 |  M09   |  62.4 |           |
| LNS11300000 | 2015 |  M08   |  62.6 |           |
| LNS11300000 | 2015 |  M07   |  62.6 |           |
| LNS11300000 | 2015 |  M06   |  62.7 |           |
| LNS11300000 | 2015 |  M05   |  62.9 |           |
| LNS11300000 | 2015 |  M04   |  62.8 |           |
| LNS11300000 | 2015 |  M03   |  62.6 |           |
| LNS11300000 | 2015 |  M02   |  62.7 |           |
| LNS11300000 | 2015 |  M01   |  62.9 |           |
| LNS11300000 | 2014 |  M12   |  62.8 |           |
| LNS11300000 | 2014 |  M11   |  62.9 |           |
| LNS11300000 | 2014 |  M10   |  62.9 |           |
| LNS11300000 | 2014 |  M09   |  62.8 |           |
| LNS11300000 | 2014 |  M08   |  62.9 |           |
| LNS11300000 | 2014 |  M07   |  62.9 |           |
| LNS11300000 | 2014 |  M06   |  62.8 |           |
| LNS11300000 | 2014 |  M05   |  62.9 |           |
| LNS11300000 | 2014 |  M04   |  62.8 |           |
| LNS11300000 | 2014 |  M03   |  63.1 |           |
| LNS11300000 | 2014 |  M02   |  62.9 |           |
| LNS11300000 | 2014 |  M01   |  62.9 |           |
| LNS11300000 | 2013 |  M12   |  62.9 |           |
| LNS11300000 | 2013 |  M11   |  63.0 |           |
| LNS11300000 | 2013 |  M10   |  62.8 |           |
| LNS11300000 | 2013 |  M09   |  63.2 |           |
| LNS11300000 | 2013 |  M08   |  63.3 |           |
| LNS11300000 | 2013 |  M07   |  63.3 |           |
| LNS11300000 | 2013 |  M06   |  63.4 |           |
| LNS11300000 | 2013 |  M05   |  63.4 |           |
| LNS11300000 | 2013 |  M04   |  63.4 |           |
| LNS11300000 | 2013 |  M03   |  63.3 |           |
| LNS11300000 | 2013 |  M02   |  63.4 |           |
| LNS11300000 | 2013 |  M01   |  63.7 |           |
| LNS11300000 | 2012 |  M12   |  63.7 |           |
| LNS11300000 | 2012 |  M11   |  63.6 |           |
| LNS11300000 | 2012 |  M10   |  63.8 |           |
| LNS11300000 | 2012 |  M09   |  63.6 |           |
| LNS11300000 | 2012 |  M08   |  63.5 |           |
| LNS11300000 | 2012 |  M07   |  63.7 |           |
| LNS11300000 | 2012 |  M06   |  63.8 |           |
| LNS11300000 | 2012 |  M05   |  63.7 |           |
| LNS11300000 | 2012 |  M04   |  63.7 |           |
| LNS11300000 | 2012 |  M03   |  63.8 |           |
| LNS11300000 | 2012 |  M02   |  63.8 |           |
| LNS11300000 | 2012 |  M01   |  63.7 |           |
| LNS11300000 | 2011 |  M12   |  64.0 |           |
| LNS11300000 | 2011 |  M11   |  64.1 |           |
| LNS11300000 | 2011 |  M10   |  64.1 |           |
| LNS11300000 | 2011 |  M09   |  64.2 |           |
| LNS11300000 | 2011 |  M08   |  64.1 |           |
| LNS11300000 | 2011 |  M07   |  64.0 |           |
| LNS11300000 | 2011 |  M06   |  64.0 |           |
| LNS11300000 | 2011 |  M05   |  64.1 |           |
| LNS11300000 | 2011 |  M04   |  64.2 |           |
| LNS11300000 | 2011 |  M03   |  64.2 |           |
| LNS11300000 | 2011 |  M02   |  64.1 |           |
| LNS11300000 | 2011 |  M01   |  64.2 |           |
| LNS11300000 | 2010 |  M12   |  64.3 |           |
| LNS11300000 | 2010 |  M11   |  64.6 |           |
| LNS11300000 | 2010 |  M10   |  64.4 |           |
| LNS11300000 | 2010 |  M09   |  64.6 |           |
| LNS11300000 | 2010 |  M08   |  64.7 |           |
| LNS11300000 | 2010 |  M07   |  64.6 |           |
| LNS11300000 | 2010 |  M06   |  64.6 |           |
| LNS11300000 | 2010 |  M05   |  64.9 |           |
| LNS11300000 | 2010 |  M04   |  65.2 |           |
| LNS11300000 | 2010 |  M03   |  64.9 |           |
| LNS11300000 | 2010 |  M02   |  64.9 |           |
| LNS11300000 | 2010 |  M01   |  64.8 |           |
| LNS11300000 | 2009 |  M12   |  64.6 |           |
| LNS11300000 | 2009 |  M11   |  65.0 |           |
| LNS11300000 | 2009 |  M10   |  65.0 |           |
| LNS11300000 | 2009 |  M09   |  65.1 |           |
| LNS11300000 | 2009 |  M08   |  65.4 |           |
| LNS11300000 | 2009 |  M07   |  65.5 |           |
| LNS11300000 | 2009 |  M06   |  65.7 |           |
| LNS11300000 | 2009 |  M05   |  65.7 |           |
| LNS11300000 | 2009 |  M04   |  65.7 |           |
| LNS11300000 | 2009 |  M03   |  65.6 |           |
| LNS11300000 | 2009 |  M02   |  65.8 |           |
| LNS11300000 | 2009 |  M01   |  65.7 |           |
| LNS11300000 | 2008 |  M12   |  65.8 |           |
| LNS11300000 | 2008 |  M11   |  65.9 |           |
| LNS11300000 | 2008 |  M10   |  66.0 |           |
| LNS11300000 | 2008 |  M09   |  66.0 |           |
| LNS11300000 | 2008 |  M08   |  66.1 |           |
| LNS11300000 | 2008 |  M07   |  66.1 |           |
| LNS11300000 | 2008 |  M06   |  66.1 |           |
| LNS11300000 | 2008 |  M05   |  66.1 |           |
| LNS11300000 | 2008 |  M04   |  65.9 |           |
| LNS11300000 | 2008 |  M03   |  66.1 |           |
| LNS11300000 | 2008 |  M02   |  66.0 |           |
| LNS11300000 | 2008 |  M01   |  66.2 |           |
+-------------+------+--------+-------+-----------+
